cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Vancouver,Washington,1069.324,106042.253,164855.0459,95.5423246,-2.050016243,0.828615946,1,0.947148996
Saint Louis,Missouri,1620.864,168823.14,257970.6422,77.21223307,-1.968193241,0.830359317,1,1.435673107
Greensboro,North Carolina,949.176,124838.43,177043.1193,72.36995613,-1.872574344,0.89207893,1,0.840728437
Lexington,Kentucky,463.396,130748.063,156234.8624,140.4189316,-1.995857798,0.647103894,1,0.410450954
Fort Wayne,Indiana,1974.306,97292.966,205879.8165,113.9657832,-2.360378714,0.792092464,1,1.748732793
Toledo,Ohio,1498.482,190713.761,273130.2752,53.6492793,-2.268365115,0.873163809,1,1.327273793
Anchorage,Alaska,1854.09,130263.609,232238.5321,101.5403238,-2.519473644,0.580674395,1,1.642252004
Saint Paul,Minnesota,559.507,119520.693,150293.578,81.1348883,-2.306161885,0.659137365,1,0.495580847
Naples,Florida,1973.094,102228.44,210748.6239,204.7455981,-1.018631591,0.69178443,1,1.747659269
Durham,North Carolina,2455.721,123385.78,258450.4587,102.6428801,-1.736458488,0.767526585,1,2.175143997
Tallahassee,Florida,848.127,118475.025,165122.0183,77.54756609,-2.046004647,0.836782512,1,0.751224733
Stockton,California,1529.63,129786.85,213916.5138,41.89607542,-1.471873086,0.811356905,1,1.354862996
Plano,Texas,1940.734,94768.807,201509.1743,85.96094199,-2.072749481,0.660956164,1,1.718996543
Henderson,Nevada,2421.157,278154.74,411318.3486,104.2952532,-1.550517932,0.894565278,2,1.259348513
Lincoln,Nebraska,1426.188,61877.982,140318.3486,109.4033799,-2.081395597,0.608968015,1,1.263239703
Modesto,California,615.619,85185.015,119044.0367,44.46511569,-1.912049237,0.715940362,1,0.545281802
Reno,Nevada,1358.414,81976.198,156688.9908,70.73740066,-2.015887275,0.786664402,1,1.203209183
Spokane,Washington,734.646,175622.885,216028.4404,117.1475894,-2.104337883,0.795511864,1,0.65070944
Chandler,Arizona,493.331,90515.443,117648.6239,110.3958316,-1.51714794,0.707185856,1,0.436965748
San Bernardino,California,1483.313,76044.393,157626.6055,32.53481586,-1.25684769,0.757782926,1,1.313837918
Chula Vista,California,1382.76,208345.464,284397.2477,33.18142939,-2.200602683,0.794144936,2,0.719233304
Saint Petersburg,Florida,77.836,100471.305,104752.2936,75.24582623,-1.682164025,0.91270494,1,0.068942892
Pensacola,Florida,1665.603,113594.597,205202.7523,51.58604041,-2.230133185,0.942391303,1,1.475300478
Lawrenceville,Georgia,3090.373,510305.607,680276.1468,65.53440662,-2.253848983,0.785191422,5,0.699605577
Madison,Wisconsin,1357.001,127788.787,202423.8532,140.3237081,-1.998440967,0.566613577,1,1.201957624
Winston-Salem,North Carolina,1076.635,98611.672,157826.6055,69.92813222,-1.834430744,0.875086876,1,0.953624682
Glendale,Arizona,1209.919,80503.976,147049.5413,65.33194183,-1.48029712,0.72319986,1,1.071680394
Scottsdale,Arizona,778.865,131737.666,174575.2294,143.9502136,-1.247001873,0.741131752,1,0.689876223
Fayetteville,North Carolina,1661.092,139757.39,231117.4312,39.33108614,-1.660580275,0.955094527,1,1.47130488
Boise,Idaho,1733.347,79760.398,175094.4954,105.6698804,-1.868305976,0.731949315,1,1.535304426
Irvine,California,6388.773,407256.932,758639.4495,50.37202732,-1.733252243,0.81473862,4,1.938100217
Sarasota,Florida,2633.8,285445.566,430304.5872,75.37438945,-1.447088993,0.806441454,2,1.369953337
Fort Myers,Florida,2306.041,179512.691,306344.9541,108.5621988,-0.780238906,0.764378993,1,2.0425656
Garland,Texas,1292.715,122431.855,193531.1927,44.24052317,-2.171109479,0.822000897,1,1.145016584
Spring,Texas,1270.272,462092.864,531957.7982,83.27505002,-2.325470828,0.796334217,4,0.385350119
Gilbert,Arizona,418.175,97382.926,120382.5688,117.5651303,-1.549205471,0.687611502,1,0.370396654
North Las Vegas,Nevada,978.472,89505.148,143321.1009,75.8181422,-1.530220789,0.867620105,1,0.866677239
Fremont,California,3423.115,248503.007,436774.3119,49.80038517,-2.134275056,0.588093424,2,1.780510221
Santa Clarita,California,637.298,75431.193,110482.5688,52.76702255,-2.046733778,0.759932858,1,0.56448388
Fontana,California,769.561,59391.59,101717.4312,24.12647388,-1.251033686,0.868767227,1,0.681635246
Irving,Texas,1620.739,161256.626,250397.2477,31.81877431,-2.140338456,0.818501228,1,1.435562389
Arlington,Virginia,1175.527,209608.41,274262.3853,70.10773802,-1.898735258,0.674481497,2,0.611442455
Springfield,Missouri,173.269,78359.174,87888.99083,77.29161397,-2.116042355,0.790221391,1,0.153472249
Birmingham,Alabama,1300.037,92138.328,163640.367,50.69019345,-2.43120249,0.878564845,1,1.151502013
Greenville,South Carolina,2308.072,256087.258,383031.1927,39.64313675,-1.924068112,0.933494651,2,1.200528111
Santa Rosa,California,2621.415,268568.96,412746.789,36.58950416,-1.926387082,0.663220137,2,1.363511363
Des Moines,Iowa,1753.052,111148.216,207566.055,74.04813104,-2.073426838,0.809829008,1,1.552758043
Ocala,Florida,694.744,106274.414,144485.3211,33.07724954,-1.400237107,0.966821301,1,0.61536642
Boca Raton,Florida,720.316,434364.271,473981.6514,86.81429646,-1.891698614,0.777235637,4,0.218515292
Woodbridge,Virginia,2071.852,132943.578,246895.4128,72.60589879,-1.96196876,0.654997279,1,1.83513373
Montgomery,Alabama,1010.668,87530.683,143117.4312,41.63216959,-1.812667769,0.839726373,1,0.895194704
Bradenton,Florida,3053.011,487656.881,655572.4771,61.95177494,-1.022019099,0.830062351,4,0.926162392
Corona,California,261.22,117852.141,132219.2661,37.5107306,-1.809012429,0.746302824,1,0.231374458
Oceanside,California,1255.261,177497.35,246536.6972,39.48405959,-1.733085615,0.758998442,1,1.11184187
Tacoma,Washington,1653.275,177605.657,268535.7798,52.42018615,-1.977212274,0.891523211,1,1.464381007
Grand Rapids,Michigan,1329.819,79472.783,152612.844,73.07682922,-1.997687796,0.775144877,1,1.177881288
Gainesville,Florida,3144.388,202657.747,375599.0826,82.18959731,-1.863576604,0.808633811,2,1.635532248
Yonkers,New York,50.098,152950.102,155705.5046,10.17405917,-2.877945759,0.905126674,1,0.044374082
Augusta,Georgia,4589.698,204484.047,456917.4312,37.09748635,-1.909899117,0.93007315,2,2.387300514
Moreno Valley,California,335.115,93357.645,111788.9908,28.47846785,-1.672893713,0.807873579,1,0.296826627
Akron,Ohio,1002.825,130636.391,185791.7431,38.97747229,-1.826388867,0.916214733,1,0.888247801
Aurora,Illinois,968.264,202439.959,255694.4954,70.33097455,-2.623922361,0.690971939,2,0.503636001
Huntington Beach,California,1849.798,94816.157,196555.0459,33.24086949,-1.719133845,0.750343624,1,1.638450384
Amarillo,Texas,1472.437,120702.192,201686.2385,58.58757143,-1.866153723,0.774701034,1,1.30420455
Eugene,Oregon,2959.793,305968.247,468756.8807,64.56722275,-2.223241484,0.765958285,3,1.08995308
Salt Lake City,Utah,1213.844,99510.143,166271.5596,62.04893721,-2.009913922,0.742260899,1,1.075156945
Port Saint Lucie,Florida,2179.541,175793.119,295667.8899,66.51019247,-1.887602412,0.847784461,1,1.930518785
Salinas,California,2451.767,180457.39,315304.5872,13.57253985,-1.687950499,0.873252179,1,2.171641759
Little Rock,Arkansas,1069.691,193900,252733.0275,55.97082789,-2.082468676,0.796268286,1,0.947474064
Hayward,California,1429.93,75728.186,154374.3119,21.83305844,-1.690964433,0.749002585,1,1.266554163
Brownsville,Texas,693.559,97898.267,136044.0367,16.60506922,-0.980759532,0.861910741,1,0.614316812
Rockford,Illinois,1391.636,109080.224,185620.1835,43.48914541,-2.704471785,0.847595885,1,1.232635422
Evansville,Indiana,1283.612,112385.729,182984.4037,47.98248058,-2.487633696,0.860046833,1,1.136953642
Worcester,Massachusetts,2369.753,273335.168,403671.5596,29.50748914,-2.453397757,0.802437131,2,1.232611068
Overland Park,Kansas,1338.415,92222.936,165835.7798,86.05743257,-2.056080516,0.652265741,1,1.185495157
Lancaster,California,666.993,116620.897,153305.5046,35.49832559,-1.596779091,0.79788571,1,0.590786095
Salem,Oregon,1003.99,187842.915,243062.3853,44.42552545,-2.21831357,0.896416263,1,0.889279695
Garden Grove,California,372.141,85861.621,106329.3578,13.15854398,-2.077790193,0.835746173,1,0.329622242
Grand Prairie,Texas,2013.167,111248.318,221972.4771,29.14405853,-2.156540029,0.858883515,1,1.783153752
Beaverton,Oregon,220.262,131870.897,143985.3211,40.68791089,-2.04252024,0.814428694,1,0.195096091
Ontario,California,283.818,141324.873,156934.8624,18.34905589,-1.739232375,0.827265845,1,0.251390536
Charleston,South Carolina,2535.231,249320.999,388758.7156,79.46489257,-2.227746716,0.830642821,2,1.318683336
Kissimmee,Florida,449.785,114796.687,139534.8624,40.49823011,-0.566817846,0.835103025,1,0.398395071
