cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Lawrence,Kansas,1958.636,140718.145,248443.1193,44.81578897,-1.68872681,0.658677679,1,1.73485316
Highlands Ranch,Colorado,595.783,96938.379,129706.422,63.95876929,-2.018212542,0.583573308,1,0.527712153
Livermore,California,1175.274,140982.875,205622.9358,25.2982203,-2.049269088,0.699189811,1,1.040993739
Ashburn,Virginia,2075.101,128185.984,242316.5138,55.04277151,-1.741332174,0.696030262,1,1.838011518
Sterling,Virginia,964.53,34711.417,87760.55046,34.72942813,-1.716706964,0.630140459,1,0.854328174
Allen,Texas,1145.311,149961.111,212953.211,39.0552314,-1.943741556,0.656068316,1,1.014454144
Missoula,Montana,729.309,144044.903,184156.8807,39.15900066,-2.002465255,0.62319925,1,0.645982216
Duluth,Minnesota,266.536,126808.41,141467.8899,45.88211457,-2.352312699,0.619338319,1,0.236083081
Canton,Michigan,1130.709,82013.761,144202.7523,36.94486928,-2.578076155,0.657230645,1,1.001520488
Herndon,Virginia,1357.201,253979.613,328625.6881,32.17287832,-1.796448136,0.617519302,2,0.705938963
Flagstaff,Arizona,2439.642,371440.775,505621.1009,41.77138187,-2.399846451,0.661065354,3,0.898405838
Leesburg,Virginia,1620.509,94612.385,183740.367,38.28656279,-1.843335181,0.674122123,1,1.435358668
Redmond,Washington,2345.701,318431.397,447444.9541,35.75916768,-2.197990872,0.647117036,3,0.86381177
Walnut Creek,California,685.608,208200.714,245909.1743,63.78282686,-1.889473049,0.623118559,2,0.356614385
Bloomington,Minnesota,1077.99,94986.697,154276.1468,33.8425449,-2.253076978,0.678894513,1,0.954824867
Longmont,Colorado,302.905,197253.976,213913.7615,39.91779845,-2.070013338,0.653053429,1,0.268296762
Troy,Michigan,2111.54,207575.382,323710.0917,30.16252157,-2.659021514,0.603888137,2,1.098303315
Johns Creek,Georgia,417.984,80792.559,103781.6514,43.66603094,-1.977634255,0.620292022,1,0.370227476
Kirkland,Washington,1486.346,134083.078,215832.1101,37.71760271,-2.111350326,0.69961299,1,1.316524385
Farmington Hills,Michigan,2531.069,295276.504,434485.3211,26.11483531,-2.926023383,0.665280646,2,1.316518499
San Ramon,California,649.849,89373.904,125115.5963,62.27789732,-1.820746393,0.529578203,1,0.575600873
Folsom,California,1047.033,179617.788,237204.5872,27.51955333,-1.819305058,0.615742721,1,0.927404841
Glen Allen,Virginia,3742.594,573803.211,779645.8716,31.25590764,-1.837402734,0.654077921,5,0.847256831
Flower Mound,Texas,4429.204,427341.488,670947.7064,42.40211423,-2.048888991,0.564692064,4,1.343644739
Waterford,Michigan,2490.98,124795.209,261799.0826,30.95642319,-2.601155635,0.672192646,1,2.2063745
West Lafayette,Indiana,631.389,106750.663,141477.0642,28.08045346,-1.81744832,0.664041098,1,0.55925001
Framingham,Massachusetts,1223.734,145156.116,212461.4679,21.39589525,-2.144309023,0.694008027,1,1.083916969
Dubuque,Iowa,1838.628,185922.273,287046.789,24.98235576,-1.9528713,0.681677013,1,1.628556606
Davis,California,689.197,103963.863,141869.7248,20.36472351,-1.653920478,0.595995384,1,0.61045319
Brentwood,California,443.266,94680.02,119059.633,34.34800939,-1.592594262,0.675010238,1,0.392620896
Maple Grove,Minnesota,1461.057,378117.074,458475.2294,42.4237639,-1.913860876,0.661897206,3,0.538038835
Corvallis,Oregon,11208.05,900797.604,1.52E+06,21.58120029,-2.200231675,0.612261813,6,2.055302325
Westerville,Ohio,192.591,150222.171,160814.6789,32.127,-2.300784424,0.677655199,1,0.170586625
Midland,Michigan,1056.481,500027.472,558133.945,59.17180099,-1.919660284,0.696308382,5,0.23916854
Medina,Ohio,414.729,92212.844,115022.9358,28.46813002,-2.151060855,0.603302761,1,0.367344374
Fairbanks,Alaska,1222.575,87205.148,154446.789,22.20704702,-2.299838113,0.604451437,1,1.08289039
Reston,Virginia,2063.255,95655.81,209134.8624,34.03138932,-1.743691902,0.674967717,1,1.827518976
Eden Prairie,Minnesota,1422.679,112007.696,190255.0459,33.79465242,-2.172104105,0.624264575,1,1.260131622
Waltham,Massachusetts,384.617,73425.892,94579.81651,17.3064033,-1.96963331,0.689300309,1,0.340672804
Coon Rapids,Minnesota,1249.286,741075.484,809786.2385,27.18778207,-2.472688382,0.699681436,6,0.229090736
Blaine,Minnesota,1171.336,116820.54,181244.0367,32.43380223,-2.247507006,0.675375611,1,1.037505673
Edmonds,Washington,1211.656,89911.213,156552.2936,23.01701859,-2.036292092,0.698932793,1,1.073218934
Annandale,Virginia,2029.726,177326.555,288961.4679,16.30465635,-1.925525415,0.669346336,1,1.797820813
Sammamish,Washington,1186.29,99879.766,165125.6881,35.04124993,-1.95388271,0.626269625,1,1.050751112
Fairfield,Connecticut,1394.648,85395.26,162100.9174,24.46885844,-1.888421728,0.64807721,1,1.235303288
Cupertino,California,895.849,111623.7,160895.4128,10.88515788,-1.53450413,0.697219943,1,0.793494283
Wheaton,Illinois,2882.973,398621.814,557185.3211,31.65954481,-2.400092978,0.690085908,3,1.061663873
Medford,Massachusetts,1262.188,100766.82,170187.156,15.10788812,-2.296132791,0.661198465,1,1.117977429
Grand Forks,North Dakota,860.455,125172.222,172497.2477,22.09441942,-2.13869687,0.65056744,1,0.762144204
Glenview,Illinois,4793.542,409471.713,673116.5138,27.23465831,-2.335243979,0.677993478,4,1.454170431
Helena,Montana,2355.337,190601.427,320144.9541,23.27300946,-2.033259394,0.691232299,1,2.086229313
Chantilly,Virginia,975.185,238773.089,292408.2569,25.01120215,-1.728578594,0.687290785,2,0.507235912
